auditid;HoldHeatSetpoint;HoldCoolSetpoint;NonProgrammableHeatSetpoint;NonProgrammableCoolSetpoint;SystemSwitchSetting;FanMode;ScheduleOnOff;HoldMode;ContinuousBacklight;Degrees;TempOffset;HumidityOffset;LocalHumidityDisplayEnabled;OutdoorTempDisplayEnabled;LocalTimeDisplayEnabled;HeatCycleRate;CoolCycleRate;AuxCycleRate;FastSecondStageHeat;FastSecondStageCool;FastSecondStageAux;ComfortRecovery;Id;Updated
4864262;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 06:13:11
4864465;255;255;77;73;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-26 06:34:59
4866669;255;255;70;74;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-11-24 08:54:23
4868758;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-25 22:24:07
4869382;255;255;61;76;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 07:05:56
4869451;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 10:53:46
4869945;255;255;68;78;heat;on;1;0;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-25 11:06:26
4869997;70;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-26 10:21:19
4874221;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 10:57:16
4876343;69;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-26 11:27:57
4877444;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 15:36:09
4880806;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 17:40:54
4883951;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-26 17:04:14
4884403;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 19:51:08
4887485;62;83;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-26 11:24:20
4887526;70;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-26 21:38:23
4899260;255;255;62;74;heat;on;1;0;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-19 06:00:09
4901060;67;74;62;74;heat;on;1;1;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-27 10:35:32
4902962;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-26 21:53:01
4903009;255;255;66;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 19:23:44
4903447;255;255;61;71;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-27 13:10:53
4904533;255;255;61;70;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-27 13:35:25
4904685;255;255;61;72;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-27 14:23:34
4906243;65;74;62;74;heat;on;1;1;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-27 11:43:20
4906368;255;255;61;70;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-27 14:30:31
4906407;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-26 23:38:36
4909986;70;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 15:53:01
4912187;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 18:00:35
